Relative LMP error,Methods,Congestion State,System Scale,Case
0.016866916,Proposed method,Non-congested,Small systems,case30
0.016419925,Proposed method,Non-congested,Small systems,case30
0.014857802,Proposed method,Non-congested,Small systems,case30
0.014966593,Proposed method,Non-congested,Small systems,case30
0.015318401,Proposed method,Non-congested,Small systems,case30
0.013707326,Proposed method,Non-congested,Small systems,case30
0.013066063,Proposed method,Non-congested,Small systems,case30
0.008043946,Proposed method,Non-congested,Small systems,case30
0.002774836,Proposed method,Non-congested,Small systems,case30
0.022672713,Proposed method,Non-congested,Small systems,case30
0.02208375,Proposed method,Non-congested,Small systems,case30
0.032268344,Proposed method,Non-congested,Small systems,case30
0.061483514,Proposed method,Non-congested,Small systems,case30
0.018278492,Proposed method,Non-congested,Small systems,case30
0.02210705,Proposed method,Non-congested,Small systems,case30
0.001090157,Lossless DCOPF,Congested,Small systems,case_ieee30
0.035402677,Lossless DCOPF,Congested,Small systems,case_ieee30
0.00211803,Lossless DCOPF,Congested,Small systems,case_ieee30
0.001670537,Lossless DCOPF,Congested,Small systems,case_ieee30
0.017141194,Lossless DCOPF,Congested,Small systems,case_ieee30
0.00223619,Lossless DCOPF,Congested,Small systems,case_ieee30
0.002443436,Lossless DCOPF,Congested,Small systems,case_ieee30
0.00164661,Lossless DCOPF,Congested,Small systems,case_ieee30
0.001704547,Lossless DCOPF,Congested,Small systems,case_ieee30
0.001704091,Lossless DCOPF,Congested,Small systems,case_ieee30
0.001499647,Lossless DCOPF,Congested,Small systems,case_ieee30
0.003266897,Lossless DCOPF,Congested,Small systems,case_ieee30
0.003265865,Lossless DCOPF,Congested,Small systems,case_ieee30
0.018640765,Lossless DCOPF,Congested,Small systems,case_ieee30
0.021127967,Lossless DCOPF,Congested,Small systems,case_ieee30
0.008140927,Lossless DCOPF,Congested,Small systems,case_ieee30
0.007513653,Lossless DCOPF,Congested,Small systems,case_ieee30
0.028268033,Lossless DCOPF,Congested,Small systems,case_ieee30
0.028551585,Lossless DCOPF,Congested,Small systems,case_ieee30
0.022348243,Lossless DCOPF,Congested,Small systems,case_ieee30
0.012563499,Lossless DCOPF,Congested,Small systems,case_ieee30
0.012366952,Lossless DCOPF,Congested,Small systems,case_ieee30
0.027670346,Lossless DCOPF,Congested,Small systems,case_ieee30
0.028106811,Lossless DCOPF,Congested,Small systems,case_ieee30
0.021698965,Lossless DCOPF,Congested,Small systems,case_ieee30
0.040091429,Lossless DCOPF,Congested,Small systems,case_ieee30
0.010231517,Lossless DCOPF,Congested,Small systems,case_ieee30
0.007184011,Lossless DCOPF,Congested,Small systems,case_ieee30
0.037514882,Lossless DCOPF,Congested,Small systems,case_ieee30
0.056378121,Lossless DCOPF,Congested,Small systems,case_ieee30
0.34016922,Method in [18],Congested,Small systems,case_ieee30
0.077405099,Method in [18],Congested,Small systems,case_ieee30
0.105607685,Method in [18],Congested,Small systems,case_ieee30
0.048634772,Method in [18],Congested,Small systems,case_ieee30
0.029630056,Method in [18],Congested,Small systems,case_ieee30
0.018427723,Method in [18],Congested,Small systems,case_ieee30
0.001557137,Method in [18],Congested,Small systems,case_ieee30
0.018459059,Method in [18],Congested,Small systems,case_ieee30
0.023115735,Method in [18],Congested,Small systems,case_ieee30
0.025363716,Method in [18],Congested,Small systems,case_ieee30
0.023320635,Method in [18],Congested,Small systems,case_ieee30
0.03643205,Method in [18],Congested,Small systems,case_ieee30
0.036433082,Method in [18],Congested,Small systems,case_ieee30
0.036840841,Method in [18],Congested,Small systems,case_ieee30
0.035288983,Method in [18],Congested,Small systems,case_ieee30
0.032494351,Method in [18],Congested,Small systems,case_ieee30
0.028003248,Method in [18],Congested,Small systems,case_ieee30
0.032564334,Method in [18],Congested,Small systems,case_ieee30
0.030762185,Method in [18],Congested,Small systems,case_ieee30
0.029667664,Method in [18],Congested,Small systems,case_ieee30
0.026500232,Method in [18],Congested,Small systems,case_ieee30
0.026523574,Method in [18],Congested,Small systems,case_ieee30
0.03210747,Method in [18],Congested,Small systems,case_ieee30
0.027530404,Method in [18],Congested,Small systems,case_ieee30
0.022994102,Method in [18],Congested,Small systems,case_ieee30
0.02185313,Method in [18],Congested,Small systems,case_ieee30
0.02029934,Method in [18],Congested,Small systems,case_ieee30
0.01869491,Method in [18],Congested,Small systems,case_ieee30
0.019157467,Method in [18],Congested,Small systems,case_ieee30
0.017026962,Method in [18],Congested,Small systems,case_ieee30
0.00589938,Method in [22],Congested,Small systems,case_ieee30
0.007074518,Method in [22],Congested,Small systems,case_ieee30
0.003975036,Method in [22],Congested,Small systems,case_ieee30
0.000348238,Method in [22],Congested,Small systems,case_ieee30
0.002465436,Method in [22],Congested,Small systems,case_ieee30
0.000913146,Method in [22],Congested,Small systems,case_ieee30
0.002240234,Method in [22],Congested,Small systems,case_ieee30
0.000515975,Method in [22],Congested,Small systems,case_ieee30
0.000707683,Method in [22],Congested,Small systems,case_ieee30
0.000883607,Method in [22],Congested,Small systems,case_ieee30
0.000502783,Method in [22],Congested,Small systems,case_ieee30
0.000921249,Method in [22],Congested,Small systems,case_ieee30
0.000920217,Method in [22],Congested,Small systems,case_ieee30
0.005624164,Method in [22],Congested,Small systems,case_ieee30
0.006738522,Method in [22],Congested,Small systems,case_ieee30
0.002550232,Method in [22],Congested,Small systems,case_ieee30
0.00255604,Method in [22],Congested,Small systems,case_ieee30
0.009311919,Method in [22],Congested,Small systems,case_ieee30
0.009519114,Method in [22],Congested,Small systems,case_ieee30
0.00745134,Method in [22],Congested,Small systems,case_ieee30
0.004348673,Method in [22],Congested,Small systems,case_ieee30
0.004310667,Method in [22],Congested,Small systems,case_ieee30
0.009292227,Method in [22],Congested,Small systems,case_ieee30
0.009914828,Method in [22],Congested,Small systems,case_ieee30
0.008723715,Method in [22],Congested,Small systems,case_ieee30
0.015601167,Method in [22],Congested,Small systems,case_ieee30
0.00524921,Method in [22],Congested,Small systems,case_ieee30
0.002648758,Method in [22],Congested,Small systems,case_ieee30
0.015262379,Method in [22],Congested,Small systems,case_ieee30
0.022722077,Method in [22],Congested,Small systems,case_ieee30
0.001302533,Proposed method,Congested,Small systems,case_ieee30
0.004738831,Proposed method,Congested,Small systems,case_ieee30
0.002789002,Proposed method,Congested,Small systems,case_ieee30
0.000985881,Proposed method,Congested,Small systems,case_ieee30
0.002129229,Proposed method,Congested,Small systems,case_ieee30
0.000166031,Proposed method,Congested,Small systems,case_ieee30
0.000301604,Proposed method,Congested,Small systems,case_ieee30
6.23236E-05,Proposed method,Congested,Small systems,case_ieee30
5.83033E-05,Proposed method,Congested,Small systems,case_ieee30
0.000466637,Proposed method,Congested,Small systems,case_ieee30
0.000146597,Proposed method,Congested,Small systems,case_ieee30
6.22414E-05,Proposed method,Congested,Small systems,case_ieee30
6.32732E-05,Proposed method,Congested,Small systems,case_ieee30
0.00184579,Proposed method,Congested,Small systems,case_ieee30
0.001645049,Proposed method,Congested,Small systems,case_ieee30
0.000556404,Proposed method,Congested,Small systems,case_ieee30
0.000296705,Proposed method,Congested,Small systems,case_ieee30
0.00191166,Proposed method,Congested,Small systems,case_ieee30
0.001798777,Proposed method,Congested,Small systems,case_ieee30
0.001393721,Proposed method,Congested,Small systems,case_ieee30
0.0005406,Proposed method,Congested,Small systems,case_ieee30
0.000485526,Proposed method,Congested,Small systems,case_ieee30
0.00164745,Proposed method,Congested,Small systems,case_ieee30
0.001105558,Proposed method,Congested,Small systems,case_ieee30
0.000447182,Proposed method,Congested,Small systems,case_ieee30
0.000368443,Proposed method,Congested,Small systems,case_ieee30
0.001586038,Proposed method,Congested,Small systems,case_ieee30
0.000289003,Proposed method,Congested,Small systems,case_ieee30
0.001166323,Proposed method,Congested,Small systems,case_ieee30
0.00173717,Proposed method,Congested,Small systems,case_ieee30
0.037415592,Lossless DCOPF,Non-congested,Small systems,case39
0.014729708,Lossless DCOPF,Non-congested,Small systems,case39
0.023190861,Lossless DCOPF,Non-congested,Small systems,case39
0.026223244,Lossless DCOPF,Non-congested,Small systems,case39
0.024843696,Lossless DCOPF,Non-congested,Small systems,case39
0.022942799,Lossless DCOPF,Non-congested,Small systems,case39
0.029005837,Lossless DCOPF,Non-congested,Small systems,case39
0.03122317,Lossless DCOPF,Non-congested,Small systems,case39
0.038706733,Lossless DCOPF,Non-congested,Small systems,case39
0.015142987,Lossless DCOPF,Non-congested,Small systems,case39
0.017925844,Lossless DCOPF,Non-congested,Small systems,case39
0.017700204,Lossless DCOPF,Non-congested,Small systems,case39
0.017209898,Lossless DCOPF,Non-congested,Small systems,case39
0.021767802,Lossless DCOPF,Non-congested,Small systems,case39
0.021394383,Lossless DCOPF,Non-congested,Small systems,case39
0.015779838,Lossless DCOPF,Non-congested,Small systems,case39
0.018418891,Lossless DCOPF,Non-congested,Small systems,case39
0.021488896,Lossless DCOPF,Non-congested,Small systems,case39
0.002037171,Lossless DCOPF,Non-congested,Small systems,case39
0.00455679,Lossless DCOPF,Non-congested,Small systems,case39
0.010357099,Lossless DCOPF,Non-congested,Small systems,case39
0.000945968,Lossless DCOPF,Non-congested,Small systems,case39
0.001197378,Lossless DCOPF,Non-congested,Small systems,case39
0.015558614,Lossless DCOPF,Non-congested,Small systems,case39
0.005042218,Lossless DCOPF,Non-congested,Small systems,case39
0.009778809,Lossless DCOPF,Non-congested,Small systems,case39
0.017234046,Lossless DCOPF,Non-congested,Small systems,case39
