LMP error($/MWh),Method,Bus Number,,,,,,,,,,,
0.060396096,Method in [22],14,,,,,,,,,,,
-0.014581328,Method in [22],14,,,,,,,,,,,
-0.032062496,Method in [22],14,,,,,,,,,,,
-0.025298563,Method in [22],14,,,,,,,,,,,
-0.207208369,Method in [22],14,,,,,,,,,,,
-0.206568977,Method in [22],14,,,,,,,,,,,
-0.016882012,Method in [22],14,,,,,,,,,,,
-0.023841324,Method in [22],14,,,,,,,,,,,
0.007033596,Method in [22],14,,,,,,,,,,,
-0.043813257,Method in [22],14,,,,,,,,,,,
-0.122361097,Method in [22],14,,,,,,,,,,,
0.182223388,Method in [22],14,,,,,,,,,,,
0.085590527,Method in [22],14,,,,,,,,,,,
0.089877102,Method in [22],14,,,,,,,,,,,
0.056179256,Method in [22],14,,,,,,,,,,,
0.08481133,Method in [22],14,,,,,,,,,,,
0.051161396,Method in [22],14,,,,,,,,,,,
0.018332745,Method in [22],14,,,,,,,,,,,
0.083467017,Method in [22],14,,,,,,,,,,,
0.081630347,Method in [22],14,,,,,,,,,,,
0.000441859,Method in [22],14,,,,,,,,,,,
0.065205528,Method in [22],14,,,,,,,,,,,
-0.161891531,Method in [22],15,,,,,,,,,,,
-0.166254048,Method in [22],15,,,,,,,,,,,
0.008458474,Method in [22],15,,,,,,,,,,,
-0.263537777,Method in [22],15,,,,,,,,,,,
-0.269751763,Method in [22],15,,,,,,,,,,,
-0.317841909,Method in [22],15,,,,,,,,,,,
-0.46055223,Method in [22],15,,,,,,,,,,,
-0.515956622,Method in [22],15,,,,,,,,,,,
-0.212006947,Method in [22],15,,,,,,,,,,,
-0.246507558,Method in [22],15,,,,,,,,,,,
-0.207049904,Method in [22],15,,,,,,,,,,,
-0.224330299,Method in [22],15,,,,,,,,,,,
-0.283822513,Method in [22],15,,,,,,,,,,,
-0.069377006,Method in [22],15,,,,,,,,,,,
0.158164276,Method in [22],15,,,,,,,,,,,
0.085686654,Method in [22],15,,,,,,,,,,,
0.109170092,Method in [22],15,,,,,,,,,,,
0.157884617,Method in [22],15,,,,,,,,,,,
0.017493483,Method in [22],15,,,,,,,,,,,
-0.023454167,Method in [22],15,,,,,,,,,,,
0.17303012,Method in [22],15,,,,,,,,,,,
0.197458102,Method in [22],15,,,,,,,,,,,
-0.039003983,Method in [22],15,,,,,,,,,,,
0.049770237,Method in [22],15,,,,,,,,,,,
-0.161238232,Method in [22],16,,,,,,,,,,,
-0.16447235,Method in [22],16,,,,,,,,,,,
-0.029790152,Method in [22],16,,,,,,,,,,,
-0.250471604,Method in [22],16,,,,,,,,,,,
-0.256907654,Method in [22],16,,,,,,,,,,,
-0.296469852,Method in [22],16,,,,,,,,,,,
-0.440045557,Method in [22],16,,,,,,,,,,,
-0.491334428,Method in [22],16,,,,,,,,,,,
-0.19992761,Method in [22],16,,,,,,,,,,,
-0.228769286,Method in [22],16,,,,,,,,,,,
-0.19138405,Method in [22],16,,,,,,,,,,,
-0.21027967,Method in [22],16,,,,,,,,,,,
-0.26980608,Method in [22],16,,,,,,,,,,,
-0.049766821,Method in [22],16,,,,,,,,,,,
0.097916898,Method in [22],16,,,,,,,,,,,
0.104479518,Method in [22],16,,,,,,,,,,,
0.09764281,Method in [22],16,,,,,,,,,,,
0.133335914,Method in [22],16,,,,,,,,,,,
0.034497804,Method in [22],16,,,,,,,,,,,
-0.009766788,Method in [22],16,,,,,,,,,,,
0.136767449,Method in [22],16,,,,,,,,,,,
0.168179005,Method in [22],16,,,,,,,,,,,
-0.027777223,Method in [22],16,,,,,,,,,,,
0.005543793,Method in [22],16,,,,,,,,,,,
-0.284189783,Method in [22],17,,,,,,,,,,,
-0.288655806,Method in [22],17,,,,,,,,,,,
-0.133849803,Method in [22],17,,,,,,,,,,,
-0.416151339,Method in [22],17,,,,,,,,,,,
-0.415452924,Method in [22],17,,,,,,,,,,,
-0.47952595,Method in [22],17,,,,,,,,,,,
-0.60405472,Method in [22],17,,,,,,,,,,,
-0.683992263,Method in [22],17,,,,,,,,,,,
-0.332280348,Method in [22],17,,,,,,,,,,,
-0.371562815,Method in [22],17,,,,,,,,,,,
-0.322746055,Method in [22],17,,,,,,,,,,,
-0.338789059,Method in [22],17,,,,,,,,,,,
